substance_name,entity_type,matchable,is_group,equivalent_node,equivalent_level,relationship_type,confidence,emb_match,emb_score,emb_agrees
polypropylene glycol,CAS without structure,TRUE,TRUE,Polyethylene glycols,direct_parent,subset,low,NA,NA,FALSE
salts and esters of MCPA,Unclassified,TRUE,TRUE,Phenoxyacetic acid derivatives,subclass,subset,high,NA,NA,FALSE
"Trimethoxy(methyl)silane and its reaction products with 3-aminopropyltriethoxysilane and [3-2,3-epoxypropoxy)propyl]trimethoxysilane",Unclassified,TRUE,TRUE,Organosilicon compounds,subclass,subset,medium,NA,NA,FALSE
NK-4496,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Quaternary ammonium compounds, di-C12-18-alkyldimethyl, chlorides",CAS without structure,TRUE,TRUE,Alkyldimethylbenzylammonium chlorides,subclass,subset,low,NA,NA,FALSE
BIS26X-OC,Unclassified,TRUE,FALSE,NA,NA,NA,low,NA,NA,FALSE
Bis(1-n-butyl-3-methylcyclopentadienyl)zirconium dichloride,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"2,2,6,6-tetrakis(tetradecanoyloxymethyl)-4-oxa-heptane-1,7-diyl ditetradecanoate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"2-[3,5-bis(trifluoromethyl)phenyl]-N-{4-(4-fluoro-2-methylphenyl)-6-[(7S,9aS)-7-(hydroxymethyl)hexahydropyrazino[2,1-c][1,4]oxazin-8(1H)-yl]pyridin-3-yl}-N,2-dimethylpropanamide dihydrochloride isopropanol solvate",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"1-[(2S,3S)-2-(benzyloxy)pentan-3-yl]-N-{4-[4-(4-hydroxyphenyl)piperazin-1-yl]phenyl}hydrazine-1-carboxamide",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Glycerides, C16-18 mono-, di- and tri-, hydrogenated, citrates, sodium salts",CAS without structure,TRUE,TRUE,Triacylglycerols,subclass,broader,low,NA,NA,FALSE
Reaction product of branched alkanols and alkanoic and alkenoic acids and monohydroxyalkanoic acid,Analytical parameter,TRUE,TRUE,Fatty acid esters,subclass,subset,medium,NA,NA,FALSE
"7H-Pyrido[3,2,1-ij][4,1,2]benzoxadiazine-6-carboxylic acid, 9-fluoro-2,3-dihydro-3-methyl-10-(4-methyl-1-piperazinyl)-7-oxo-, compd. with formic acid (1:2)",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
MPDIOL POLYESTER A,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
COAGULANT 122 (SOLID),Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
salts of oxalic acid with the exception of those specified elsewhere in this Annex,Unclassified,TRUE,TRUE,Carboxylic acid salts,direct_parent,subset,medium,NA,NA,FALSE
"1,5-bis[1,2-bis(ethoxycarbonyl)ethylamino]-2-methylpentane",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"amylase, α-",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"α,ω-dicarboxylic acids (C6-C12), aliphatic, unbranched",Analytical parameter,TRUE,TRUE,Dicarboxylic acids and derivatives,subclass,subset,high,NA,NA,FALSE
"(2S,3S)-2,3-Bis[(4-methylbenzoyl)oxy]butanedioic acid — methyl {(4S)-8-fluoro-2-[4-(3methoxyphenyl)piperazin-1-yl]-3-[2-methoxy-5-(trifluoromethyl)phenyl]-3,4-dihydroquinazolin-4yl}acetate — ethyl acetate (1:1:1)",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"N-(2,3-dihydroxypropyl)-N'-(3-hydroxy-2-oxopropyl)-2,4,6-triiodo-5-[2-(methylamino)-2-oxoethoxy]isophthalamide",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
STYLEZE W-20,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
AS Violet,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"Fatty acids, vegetable-oil, esters with dipropylene glycol",CAS without structure,TRUE,TRUE,Fatty acid esters,subclass,subset,medium,NA,NA,FALSE
PSD-300,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Nitrothal,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Esters of rosin oligomers with glycerol,CAS without structure,TRUE,TRUE,Carboxylic acid esters,direct_parent,subset,medium,NA,NA,FALSE
"(-)-1-Benzyl-4-(-4-fluor-phenyl)-3-hydroxymethyl-1,2,3,6-tetrahydropyridine-L-dibenzoyl-tartaric salt",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"N-{[2-(Benzyloxy)-4-methoxy-6-methylpyridin-3-yl]methyl}-2,5-dichloro-6-(2-hydroxyethyl)-3-[(R)-methoxy(oxetan-3-yl)methyl]benzamide",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"2-ketogluconic acid, calcium salt",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Trisodium 2-{α[2-hydroxy-3-[4-chloro-6-[4-(2,3-dibromopropionylamino)-2-sulfonatophenylamino]-1,3,5-triazin-2-ylamino]-5-sulfonatophenylazo]-benzylidenehydrazino}-4-sulfonatobenzoate, copper complex",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
bis({9-[2-(carboxy-kO)phenyl]-6-(bis(tallow alkyl hydrogenated)amino)-3H-xanthen-3-ylidene}-3-bis(tallow alkyl hydrogenated)iminium)zinc(2+) dichloride,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
reaction product of alumina and sulfuric acid,Analytical parameter,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Bacillus thuringiensis subsp. Kurstaki strain ABTS-351,Unclassified,TRUE,NA,NA,NA,NA,low,NA,NA,FALSE
"(4R)-4-[(3R,5S,7S,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid;N,N-diethylethanamine",Analytical parameter,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
SS-AMINOALC-PTS 8321,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"Octanoic acid, esters with anhydrosorbitol and dianhydrosorbitol",Unclassified,TRUE,TRUE,Fatty acid esters,subclass,subset,medium,NA,NA,FALSE
(2S)‐2‐{[(2S)‐1‐(2‐{[(benzyloxy)carbonyl]amino}acetyl)‐2‐methylpyrrolidin‐2‐yl]formamido}pentanedioic acid,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Bacillus thuringiensis subsp. Kurstaki strain PB 54,Unclassified,TRUE,NA,NA,NA,NA,low,NA,NA,FALSE
"Benzeneacetic acid, α-hydroxy-, (αS)-(γS)-compd. with N-methyl-γ-(2-methylphenoxy)benzenepropanamine (1:1)",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
(2RS)-1-([biphenyl]-4-yl)-2-(dimethylamino)-2-methyl-3-phenylpropan-1-one,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Reaction products of zinc oxide and glycerol,CAS without structure,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"Soil organic matter, alkaline extract, sodium salt",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Mentha citrata, ext.",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Residues, zinc smelting",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Jojoba, ext.",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
POLYUREA GREASE THICKENER,Unclassified,TRUE,TRUE,Polyureas,class,subset,medium,NA,NA,FALSE
"Reaction products of condensation between disodium 4,4'-dinitrostilbene-2,2'-disulfonate and 4'-aminoazobenzene-4-sulphonic acid, sodium salts",Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"glycerol, esters with propionic acid",Unclassified,TRUE,TRUE,Carboxylic acid esters,direct_parent,subset,medium,NA,NA,FALSE
Reaction product of sulfuric acid with Cedrenepoxide.,Analytical parameter,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Methyl-2,3-dibromo-2-methylpropionate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Hydrocarbons, C9-14, ethylene-manuf.-by-product",CAS without structure,TRUE,TRUE,Hydrocarbons,superclass,subset,high,NA,NA,FALSE
"Sulfuric acid, ammonium sodium salt, dihydrate",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
2-[[4-(4-aminophenyl)diazenyl-3-methyl-phenyl]-(2-hydroxyethyl)amino]ethanol,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"[x·sodium, y·lithium, x+y=3] 4-amino-3[[4-[[4-[(2-amino-4-hydroxyphenyl)diazenyl]phenyl]amino]-3-sulfonato phenyl]diazenyl]-5-hydroxy-6-(phenydiazenyl)naphthalene-2,7-disulfonat, mixture of isomers",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Mixture of mono-, di- and triesters obtained with isooctadecanoic acid and hydrogenated castor oil",Mixture,TRUE,TRUE,Triacylglycerols,subclass,broader,medium,NA,NA,FALSE
Alkophen mesyl lactone,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
H112323,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
CW501L-DW (CuZn10),Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"L-Leucine, N-formyl-, compd. with (2R)-2-amino-3-methoxy-N-(phenylmethyl)propanamide",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Alkenes C20+,Unclassified,TRUE,TRUE,Alkenes,direct_parent,subset,high,NA,NA,FALSE
"zirconium(IV) oxide, stabilised with erbium(III) oxide, gadolinium(III) oxide and yttrium(III) oxide",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Alkenes, C15-18, branched",Unclassified,TRUE,TRUE,Branched unsaturated hydrocarbons,subclass,subset,medium,NA,NA,FALSE
perilla oil,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"D-pentose and D-glucose, oligomeric, C8 and C10 alkyl glycosides",Unclassified,TRUE,TRUE,Alkyl glycosides,subclass,subset,medium,NA,NA,FALSE
"Reaction products of 2,5-dimercapto-1,3,4-thiadiazole, sodium salt, with 1-octanethiol and hydrogen peroxide",Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
BROWN DER 8589,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Green KK 80884,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Tar brown-coal; [An oil distilled from brown-coal tar. Composed primarily of aliphatic, naphthenic and one- to three-ring aromatic hydrocarbons, their alkyl derivates, heteroaromatics and one- and two-ring phenols boiling in the range of approximately 150 oC to 360 oC (302 oF to 680 oF).]",Analytical parameter,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"poly-[((4-((4-(ethyl-ethylene)amino)phenyl)-(4-(ethyl-(2-oxyethylene)amino)phenyl)methinyl)-3-methylcyclohexa-2,5-dienylidene)-N-ethyl-N-(2-hydroxyethyl)ammonium acetate]",CAS without structure,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
LUMILUX ROT CD 360,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Phosphonium tetrabutyl- 1 1 2 2 3 3 4 4-octafluorohexanedioate 2 1,CAS without structure,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"Cadmium sulfide (CdS), solid soln. with zinc sulfide, copper and nickel-doped",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"4-Nitrophenyl-alpha-D-maltoheptaosid, Raw: Reaction products of p-nitrophenyl alpha-glucoside with alpha-Cyclodextrin by transglycosylation with cyclodextrin glucanotransferase",Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
Species of monomeric platinum alkane dicarboxylate from the reaction of dihydrogen polyhydroxyplatinate(2-) and alkane dicarboxylic acid,Unclassified,TRUE,TRUE,Transition metal salts,class,subset,medium,NA,NA,FALSE
"Grapefruit, ext.",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"1-Propanaminium, 3-amino-N-ethyl-N,N-dimethyl-, N-rape-oil acyl derivs., Et sulfates",CAS without structure,TRUE,TRUE,Quaternary ammonium salts,subclass,subset,medium,NA,NA,FALSE
"CP-548,495",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
methyl 3-(2-bromopropanoylamino)-4-methyl-thiophene-2-carboxylate,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Benzenesulfonic acid, 4-C10-13-sec-alkyl derivs.-, compd. with 1-aminopropane-2-ol",Unclassified,TRUE,TRUE,Benzenesulfonic acids and derivatives,subclass,subset,medium,NA,NA,FALSE
B-1123,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"dibenzylbenzene, ar-methyl derivative; dibenzyltoluene",Analytical parameter,TRUE,TRUE,Diphenylmethanes,subclass,subset,medium,NA,NA,FALSE
dimethyl (3-methyl-4-(5-nitro-3-ethoxycarbonyl-2-thienyl)azo)phenylnitrilodipropionate,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
IMINOFLUMIZOLINE,Unclassified,TRUE,FALSE,NA,NA,NA,medium,Imidazolines,0.8137032209046158,FALSE
Dodecanoic acid 2-dodecanoyloxy-1-alkyl ester,Unclassified,TRUE,TRUE,"1-alkyl,2-acylglycerols",direct_parent,subset,low,NA,NA,FALSE
"Ammonium [trisulphamoyl-29H,31H-phthalocyaninesulphonato(3-)-N29,N30,N31,N32]cuprate(1-)",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Sophorolipids: fermentation products of glucose and fatty acids, C18 (unsaturated), glycerol esters with yeast Starmerella Bombicola, hydrolysed",Unclassified,TRUE,TRUE,Sophorolipids,subclass,subset,high,NA,NA,FALSE
"oxalic acid-4-amino-3-(4-phenoxyphenyl)-1-[(3R)-piperidin-3-yl]-1,3-dihydro-2H-imidazo[4,5-c]pyridin-2-one (1/1)",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-5-(2-hydroxyethyl)-4-methyl-1,3-thiazol-3-ium sulfate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Reaction products of 2-amino-4-chlorophenol, 2-amino-4-nitrophenol-6-sulfonic acid with resorcinol, iron complex, sodium salts",Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"(4Z-9Z)-7,9-Dodecadien-1-ol",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
1-[4-(trans-4-propylcyclohexyl)-1-cyclohexen-1-yl]-4-trifluoromethoxybenzene,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
CGA 042,CAS without structure,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
Octacarbonyldicobalt,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Fatty acids, C18-unsaturated, 1,6 Hexanediol Diester",Unclassified,TRUE,TRUE,Fatty acid esters,subclass,subset,medium,NA,NA,FALSE
PGMS,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
LUMATION* GREEN 1302 LIGHT EMITTING POLYMER,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Reaction products of boric acid and calcium dihydroxide and lithium hydroxide,Unclassified,TRUE,TRUE,Alkaline earth metal borates,subclass,subset,low,NA,NA,FALSE
"Coal Tar Solids Residue|Waste solids, coal-tar pitch coking|[The combination of wastes formed by the coking of bituminous coal tar pitch. It consists predominantly of carbon.]",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"tert-Butylammonium-(3R,5R)-3,5-dihydroxy-7-[(1'S,2'S,8'S,8a'R) -2'-methyl-8'-[(2""S)-2""-methyl-butoxy]-1',2',3',7',8',8a'-hexahydro-napht-1-yl] heptanoate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
COOLER 2,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Fatty acids, vegetable-oil, esters with sterols, mixed with vegetable-oil glycerides",CAS without structure,TRUE,TRUE,Lipids and lipid-like molecules,superclass,broader,medium,NA,NA,FALSE
"Hydrocarbons, C4, 1,3-butadiene-free, polymd., pentaisobutylene fraction, hydrogenated",CAS without structure,TRUE,TRUE,Saturated hydrocarbons,class,subset,medium,NA,NA,FALSE
FC 4001 STAGE 1,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Condensation products of N-(2-aminoethyl)octadecanamide and N-(2-aminoethyl)hexadecanamide with sebacic acid,Unclassified,TRUE,TRUE,Carboxylic acid amides,direct_parent,subset,medium,NA,NA,FALSE
Reaction products of (Z)-octadec-9-enol and lactic acid,Unclassified,TRUE,TRUE,Fatty acid esters,subclass,subset,medium,NA,NA,FALSE
"Enzymatic hydrolysis products of Laminaria japonica, S. japonica, Laminariaceae",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
3-phenylpropyldimethoxymethylsilan,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Essential oil of Canarium commune (Burseraceae) obtained from gum by steam distillation,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Octadecanoic acid, reaction products with 2-amino-2-methyl-1-propanol",CAS without structure,TRUE,TRUE,Carboxylic acid amides,direct_parent,subset,medium,NA,NA,FALSE
UNDECANSAEURE-CD-SALZ,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Essential oil of Matricaria recutita (Asteraceae) obtained from flower tops by steam distillation of European origin,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
HM-CATALYST 346AA-ACO2,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Fatty acids, C8-10, mixed esters with adipic acid and trimethylolpropane",CAS without structure,TRUE,TRUE,Fatty acid esters,subclass,subset,medium,NA,NA,FALSE
"Hydrocarbons, C4-6, depentanizer lights, arom. hydrotreater",CAS without structure,TRUE,TRUE,Hydrocarbons,superclass,subset,medium,NA,NA,FALSE
"Cuprate(2-), [μ-[[3,3'-[methylenebis[(4,6-dihydroxy-3,1-phenylene)azo]]bis[4-hydroxy-5-nitrobenzenesulfonato]](6-)]]di-, sodium",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Naphthenic acids, mercury salts",CAS without structure,TRUE,TRUE,Organic metal salts,class,subset,medium,NA,NA,FALSE
"4-{[4-(3-amino-4-sulfoanilino)-6-chloro-1,3,5-triazin-2-yl]amino}-6-[(5-carbamoyl-1-ethyl-2-hydroxy-4-methyl-6-oxo-1,6-dihydropyridin-3-yl)diazenyl]benzene-1,3-disulfonic acid",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Amine fluoride C8,Unclassified,TRUE,TRUE,Organofluorides,class,subset,medium,NA,NA,FALSE
8-methyl-2-decanol propionate,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Copper, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, (1,3-dihydro-1,3-dioxo-2H-isoindol-2-yl)methyl derivs.",CAS without structure,TRUE,TRUE,Phthalocyanines,subclass,subset,high,NA,NA,FALSE
"Silicic acid, aluminum sodium salt, sulfurized",CAS without structure,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"Boron, (benzenemethanamine)trifluoro-, (T-4)-, reaction products with Bu glycidyl ether",CAS without structure,TRUE,TRUE,Boronic acid derivatives,class,subset,low,NA,NA,FALSE
"Hydrocarbons, C7-C8, n-alkanes",Analytical parameter,TRUE,TRUE,Alkanes,subclass,subset,high,NA,NA,FALSE
Trinexapac (aka cimetacarb),CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
[8-[(4-amino-3-nitrophenyl)azo]-7-hydroxy-2-naphthyl]trimethylammonium chloride,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Fatty acids, C22-unsatd., dimers, hydrogenated",CAS without structure,TRUE,TRUE,Fatty acids and conjugates,subclass,subset,medium,NA,NA,FALSE
"((1S,2R)-2-(aminomethyl)-2-(naphthalen-2-yl)cyclopropyl)methanol compound with 4-methylbenzenesulfonic acid (1:1)",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
oxozirconium; silane,Analytical parameter,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
Trisodium [5-[[4-[(3-chloro-2-hydroxy-5-sulphophenyl)azo]-3-hydroxyphenyl]azoxy]-2-[2-(4-nitro-2-sulphophenyl)vinyl]benzenesulphonato(5-)]cuprate(3-),CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
polychlorotrifluoroethylene,Unclassified,TRUE,TRUE,Organofluorides,class,subset,low,NA,NA,FALSE
"poly(ethylene-co-acrylic acid), zinc salt",CAS without structure,TRUE,TRUE,Organic Polymers,superclass,subset,medium,NA,NA,FALSE
BUTAMINE HCl,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
petrolatum,Mixture,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"oxo-heteropolycycle, substituted-(chloro-hydroxycarbomonocyclic)-",Unclassified,TRUE,TRUE,Organoheterocyclic compounds,superclass,subset,low,NA,NA,FALSE
Octamethylcyclotetrasiloxane (D4); Decamethylcyclopentasiloxane (D5),Analytical parameter,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Hydrocarbons, C10-14 (even numbered), n-alkanes, isoalkanes, <2% aromatics",Unclassified,TRUE,TRUE,Saturated hydrocarbons,class,subset,high,NA,NA,FALSE
"Titanium alkyl oxy complexes, quats",Unclassified,TRUE,TRUE,Organometallic compounds,superclass,subset,low,NA,NA,FALSE
"Cyclohexanemethanamine, 5-amino-1,3,3-trimethyl-, reaction products with glycidyl tolyl ether",CAS without structure,TRUE,TRUE,"Amino acids, peptides, and analogues",subclass,broader,low,NA,NA,FALSE
Magnesium salt of C11-C13 alkenyldicarboxylic acid ester,Analytical parameter,TRUE,TRUE,Alkaline earth metal salts,class,subset,medium,NA,NA,FALSE
"4-(5-(5-[1-(4-carboxyphenyl)hexahydro-2,4,6-trioxopyrimidin-5-ylidene]penta-1,3-dienyl)-1,2,3,4-tetrahydro-6-hydroxy-2,4-dioxopyrimidin-1-yl)benzoic acid-triethylamine salt",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
POLYAMIDE RESIN,Unclassified,TRUE,TRUE,Organic Polymers,superclass,subset,medium,NA,NA,FALSE
"Almond, sweet, ext.",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Tetrasodium N,N'-(6,13-dichloro-4,11-bis(2-(sulfonatooxy)ethylsulfonyl)-5,12-dioxa-7,14-diazapentacene-3,10-diylbis(iminoethylene))disuccinamate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
GIALLO PERGASCRIPT RZ 3386,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
poly(vinyl methyl ether),Unclassified,TRUE,TRUE,Organic Polymers,superclass,subset,medium,NA,NA,FALSE
N-[2-(piperazin-1-yl)ethyl]C18-insaturated-alkylamide,CAS without structure,TRUE,TRUE,Fatty amides,subclass,subset,medium,NA,NA,FALSE
PRIOLUBE 1944,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
