kingdom,superclass,class,subclass,direct_parent,reasoning,confidence,substance_name,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens
Organic compounds,Organosulfur compounds,Sulfonyls,Sulfonylureas,Sulfonylureas,"Triflusulfuron is a sulfonylurea herbicide containing a sulfonyl group bridging a urea moiety, linking a trifluoromethyl-substituted benzenesulfonyl group to a triazine ring. This places it squarely in the sulfonylurea class.",high,Triflusulfuron,311,0,16760,123
Organic compounds,Organoheterocyclic compounds,Triazines,"1,3,5-triazine-2,4-diamines","1,3,5-triazine-2,4-diamines","Melamine (2,4,6-triamino-1,3,5-triazine) is an organic heterocyclic compound containing a symmetric triazine ring with three amino substituents. It fits under the 1,3,5-triazine-2,4-diamines subclass as the most specific available label for aminotriazines.",high,"2,4,6-triamino-1,3,5-triazine (melamine)",326,0,16760,171
Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Benzenesulfonic acids and derivatives,Benzenesulfonic acids and derivatives,"This compound contains a benzenesulfonic acid group attached to a pyrazoline (4,5-dihydropyrazole) ring bearing a methyl group and a ketone. The sulfonic acid on the benzene ring is the primary functional group defining the direct parent class.",medium,"m-(4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl)benzenesulphonic acid",343,0,16760,154
Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenols,Cresols,"6-tert-butyl-m-cresol is a methylphenol (cresol) with a tert-butyl substituent on the benzene ring, making it a substituted cresol. The meta-cresol core places it directly in the Cresols direct parent category.",high,6-tert-butyl-m-cresol,317,0,16760,132
Organic compounds,Hydrocarbon derivatives,Alcohols and polyols,"1,2-diols","1,3-aminoalcohols","2-phenyl-1,3-propanediol is an organic compound with a phenyl group and two hydroxyl groups at the 1 and 3 positions of a propane chain, making it a 1,3-diol. The most fitting available direct parent label for a 1,3-diol structure is '1,2-diols' under alcohols and polyols, though strictly it is a 1,3-diol; no exact '1,3-diol' label exists in the taxonomy.",medium,"2-phenyl-1,3-propanediol",317,0,16760,189
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Enoate esters,"Dodecyl hydrogen maleate is a mono-ester of maleic acid (a cis-butenedioic acid) with dodecanol, leaving one free carboxylic acid group. The ester portion contains an alpha,beta-unsaturated (enoate) functionality, making it an enoate ester as the most specific classification.",high,Dodecyl hydrogen maleate,312,0,16760,170
Organic compounds,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines,Chlorobenzenes,"4,4'-methylenebis(2-chloroaniline) is an aromatic amine with two aniline rings each bearing a chloro substituent and connected by a methylene bridge; the primary structural features are chloro-substituted benzene rings bearing amine groups. While it is both a chlorobenzene and a primary aromatic amine, the direct parent capturing the halogen substitution on the aromatic ring is chlorobenzenes.",medium,"2,2'-dichloro-4,4'-methylenedianiline; 4,4'-methylene bis(2-chloroaniline)",337,0,16760,158
Organic compounds,Organoheterocyclic compounds,Lactams,Beta lactams,Beta lactams,"The substance contains a 4-membered ring lactam (azetidinone), which is a beta-lactam. It also has an acetate ester and a tert-butyldimethylsilyloxy group, but the core heterocyclic scaffold is the beta-lactam ring system.",high,"(2R,3R)-3-((R)-1-(tert-butyldimethylsiloxy)ethyl)-4-oxoazetidin-2-yl acetate",347,0,16760,148
Organic compounds,Phenylpropanoids and polyketides,NA,NA,Cinnamaldehydes,"3-(9-anthryl)acrylaldehyde is a cinnamaldehyde analogue where the phenyl group is replaced by a 9-anthracenyl group; it is an alpha,beta-unsaturated aldehyde (acrylaldehyde) attached to an aryl group, fitting the cinnamaldehyde structural motif. Cinnamaldehydes belong to the phenylpropanoids and polyketides superclass.",medium,3-(9-anthryl)acrylaldehyde,318,0,16760,184
Organic compounds,Organoheterocyclic compounds,Azoles,Triazoles,Triazoles,"Ipconazole is a triazole fungicide containing a 1,2,4-triazole ring system attached to a cyclopentyl and chlorobenzyl group. It belongs to the azole class of organoheterocyclic compounds, specifically the triazole subclass.",high,Ipconazole,309,0,16760,146
Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Sulfonic acids and derivatives,Azo compounds,"This substance is a complex azo dye containing a diazenyl (-N=N-) linkage connecting two naphthalene ring systems, along with multiple sulfonic acid groups, a chlorotriazine moiety, and a vinylsulfone precursor (sulfooxy-ethylsulfonyl). The azo/diazenyl group is the most defining structural feature for direct parent classification, while the molecule also carries several sulfonic acid substituents.",medium,"2-{(E)-[6-({4-chloro-6-[(4-{[2-(sulfooxy)ethyl]sulfonyl}phenyl)amino]-1,3,5-triazin-2-yl}amino)-1-hydroxy-3-sulfonaphthalen-2-yl]diazenyl}naphthalene-1,5-disulfonic acid",397,0,16760,188
Organic compounds,Benzenoids,Benzene and substituted derivatives,Anthranilamides,Anthranilamides,"Anthranilamide (2-aminobenzamide) is a benzene ring bearing both an amino group and a carboxamide group in ortho positions, which defines the anthranilamide scaffold. It falls under benzenoids as a substituted benzene derivative.",high,Anthranilamide,310,0,16760,118
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,"Pentyl valerate is an ester formed from pentan-1-ol and valeric acid (pentanoic acid), making it a fatty acid ester. It belongs to the lipids/fatty acyls category as a simple aliphatic ester of a short-chain fatty acid.",high,Pentyl valerate,309,0,16760,134
Organic compounds,Hydrocarbon derivatives,Alcohols and polyols,Unsaturated aliphatic hydrocarbons,Secondary alcohols,"3-buten-2-ol (CH2=CH-CHOH-CH3) is an organic compound containing a secondary hydroxyl group on a butenyl chain, making it a secondary alcohol. It is a hydrocarbon derivative with an aliphatic unsaturated backbone.",high,3-buten-2-ol,312,0,16760,120
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Enoate esters,"Vinyl laurate is the vinyl ester of lauric acid (dodecanoic acid), where the acyl group is a long-chain fatty acid esterified with a vinyl alcohol; the vinyl ester moiety (enol ester) classifies it as an enoate ester. It belongs to the fatty acid ester subgroup within fatty acyls.",high,Vinyl laurate,308,0,16760,139
Inorganic compounds,Homogeneous non-metal compounds,Other non-metal halides,NA,Other non-metal halides,"Perchloryl fluoride (ClO3F) is an inorganic compound consisting entirely of non-metals (chlorine, oxygen, fluorine). It is a non-metal halide (specifically a halogen oxide fluoride), fitting best under 'Other non-metal halides' within homogeneous non-metal compounds.",medium,Perchloryl fluoride,311,0,16760,157
Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenols,Hydroxybenzoic acid derivatives,"4-Hydroxybenzoic acid is a benzoic acid with a hydroxyl group at the para position, making it a hydroxybenzoic acid derivative within the phenol/benzenoid family.",high,4-hydroxybenzoic acid,312,0,16760,101
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Ketones,Ketones,"5-methylhexan-2-one is a branched-chain aliphatic ketone (methyl isoamyl ketone). It falls under fatty acyls as a short-chain methyl ketone, with the ketone functional group as its direct parent classification.",medium,5-methylhexan-2-one,314,0,16760,127
Organic compounds,Organoheterocyclic compounds,Azoles,Isoxazoles,Isoxazoles,"Drazoxolon contains an isoxazolone ring (a 5-membered ring with both nitrogen and oxygen), specifically a 3-methyl-5-isoxazolone, with a 2-chlorophenylhydrazone substituent. The isoxazolone/isoxazole scaffold places it in the azoles/isoxazoles classification within organoheterocyclic compounds.",medium,drazoxolon (ISO); 4-(2-chlorophenylhydrazone)-3-methyl-5-isoxazolone,337,0,16760,176
Organic compounds,Organohalogen compounds,Organochlorides,Disiloxanes,Disiloxanes,"Hexamethyldisiloxane ((CH3)3Si-O-Si(CH3)3) is an organosilicon compound featuring a Si-O-Si backbone (disiloxane). However, 'Disiloxanes' does not appear in the ChemOnt list; the closest available class is 'Organosilicon compounds' under organoheterocyclic or hydrocarbon derivatives. Actually, reviewing the available labels, 'Siloxanes' is listed under subclass/direct_parent, making it the best fit for this Si-O-Si containing compound.",medium,Hexamethyldisiloxane,313,0,16760,200
Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones,"Methyl tricyclo[3.3.1.1^3,7]dec-1-yl ketone (methyl adamantyl ketone) is an organic compound containing a ketone functional group (C=O) where one substituent is a methyl group and the other is an adamantyl (tricyclodecyl) group. It is best classified as a ketone within carbonyl compounds.",high,"Methyl tricyclo[3.3.1.13,7]dec-1-yl ketone",329,0,16760,170
Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Quinolines and derivatives,Quinolines and derivatives,"Quinoline is a bicyclic aromatic compound consisting of a benzene ring fused to a pyridine ring, making it the parent member of the quinoline class of organoheterocyclic compounds. It contains a nitrogen atom in the heterocyclic ring, classifying it under quinolines and derivatives.",high,Quinoline,307,0,16760,140
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Anthranilamides,"Naptalam (N-1-naphthylphthalamic acid) is a compound containing a phthalic acid (benzene-1,2-dicarboxylic acid) moiety with an amide linkage to a naphthylamine, making it an anthranilamide derivative. It belongs to the carboxylic acids and derivatives superclass due to the carboxylic acid and amide functional groups.",medium,Naptalam,308,0,16760,189
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues","This substance is the dipotassium salt of zinc(II) complexed with EDTA (ethylenediaminetetraacetic acid), where the EDTA ligand contains amino acid-like carboxymethyl groups coordinated to zinc. It is best classified as an organic metal salt involving amino acid-derived chelating ligands, but the closest available ChemOnt label reflecting the organic acid/amino acid backbone of EDTA is 'Amino acids, peptides, and analogues'.",low,"Dipotassium [[N,N'-ethylenebis[N-(carboxylatomethyl)glycinato]](4-)-N,N',O,O',ON,ON']zincate(2-)",355,0,16760,211
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Acyl halides,Acyl chlorides,"Acetyl chloride (CH3COCl) is an acyl halide where the hydroxyl group of acetic acid is replaced by a chlorine atom, making it an acyl chloride. It falls under carboxylic acid derivatives in the organic compounds kingdom.",high,acetyl chloride,308,0,16760,127
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Fatty Acyls,Fatty acid esters,"Chromium trioleate is the chromium(III) salt/ester of oleic acid (a long-chain unsaturated fatty acid), consisting of three oleate (C18:1) chains coordinated to a chromium center. It falls under fatty acid esters/metal salts of fatty acids within the Fatty Acyls class.",medium,Chromium trioleate,310,0,16760,146
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,"(Z)-8-Dodecen-1-yl acetate is a long-chain unsaturated alcohol esterified with acetic acid, making it a fatty acid ester (wax-type ester). It belongs to the Fatty Acyls class within the Lipids and lipid-like molecules superclass.",high,(Z)-8-Dodecen-1-yl acetate (SCLP Actetates),328,0,16760,160
Organic compounds,Organochlorides,Organochlorides,Organochlorides,Lactones,"This substance is chlordane anhydride (hexachloronorbornene dicarboxylic anhydride), a polychlorinated bicyclic compound containing a cyclic anhydride (lactone-type) functional group. It is best classified as an organochloride with the cyclic anhydride (lactone) as the most specific direct parent functional group.",medium,"1,4,5,6,7,7-hexachloro-8,9,10-trinorborn-5-ene-2,3-dicarboxylic anhydride; 4,5,6,7,8,8-hexachloro-3a,4,7,7a-tetrahydro-4,7-methano-2-benzofuran-1,3-dione",402,0,16760,145
Organic compounds,Organometallic compounds,Metalloheterocyclic compounds,NA,Organotin compounds,"Azocyclotin (also known as Azocyclotins) is an organotin acaricide consisting of a tricyclohexyltin group connected to a 1,2,4-triazole ring. It contains a tin-carbon bond, classifying it as an organotin/organometallic compound with a heterocyclic (triazole) component.",medium,Azocyclotin,310,0,16760,167
Organic compounds,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines,Aniline and substituted anilines,"2,4,6-trimethylbenzene-1,3-diamine is a benzene ring bearing two primary amino groups and three methyl substituents, making it a substituted aniline (aromatic amine). It fits the benzenoid kingdom and the aniline and substituted anilines direct parent.",high,"2,4,6-trimethylbenzene-1,3-diamine",323,0,16760,136
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Carbamate esters,"Asulam is methyl 4-aminophenylsulfonylcarbamate, a sulfonamide-carbamate herbicide; as the sodium salt, it retains the carbamate ester core structure. The carbamate ester (methyl ester of a carbamic acid) is the most specific matching direct parent in ChemOnt.",medium,Asulam sodium,309,0,16760,170
Organic compounds,Organosulfur compounds,Sulfonic acids and derivatives,NA,Azo compounds,"This substance is a tetrasodium salt of a complex azo dye containing multiple azo (-N=N-) linkages connecting naphthalene and phenyl rings, with sulfonate groups, a triazine moiety, and hydroxyethylamino substituents. The defining structural feature is the azo linkage, placing it as an azo compound; the sulfonate salt groups are also prominent but the azo chromophore is the primary classification driver.",medium,"Tetrasodium 4-amino-3,6-bis(5-[4-chloro-6-(2-hydroxyethylamino)-1,3,5-triazin-2-ylamino]-2-sulfonatophenylazo)-5-hydroxynaphthalene-2,7-disulfonate",381,0,16760,179
Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Nitriles,Cyanohydrins,"Lactonitrile (2-hydroxypropanenitrile) is a cyanohydrin — it contains both a hydroxyl group and a nitrile group on the same carbon, formed from acetaldehyde and HCN. Cyanohydrins are a subclass of nitriles within organonitrogen compounds.",high,Lactonitrile,309,0,16760,156
Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,"1,2-diols","2,2-dimethyl-1,3-propanediol (neopentyl glycol) is an organic compound bearing two hydroxyl groups on a propane backbone with gem-dimethyl substitution at C2. Although the hydroxyls are on C1 and C3 (a 1,3-diol), the closest available label in the taxonomy for a diol is '1,2-diols'; no '1,3-diol' label exists, making this the best available match under alcohols and polyols.",medium,"2,2-dimethyl-1,3-propanediol (neopentylglycol)",328,0,16760,187
Inorganic compounds,Mixed metal/non-metal compounds,Alkaline earth metal salts,Alkaline earth metal hydroxides,Alkaline earth metal hydroxides,"Calcium dihydroxide (Ca(OH)2) is an inorganic compound consisting of a calcium cation (alkaline earth metal) and two hydroxide anions, classifying it as an alkaline earth metal hydroxide. It falls under mixed metal/non-metal compounds as it contains both a metal and non-metal components.",high,Calcium dihydroxide,310,0,16760,148
Organic compounds,Organoheterocyclic compounds,Purines and purine derivatives,Xanthines,Xanthines,"3,7-dihydro-3-methyl-1H-purine-2,6-dione is 3-methylxanthine, a xanthine derivative with a methyl group at the N-3 position of the purine-2,6-dione scaffold. Xanthines are a subclass of purines and purine derivatives within organoheterocyclic compounds.",high,"3,7-dihydro-3-methyl-1H-purine-2,6-dione",329,0,16760,145
Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Organosulfonic acid esters,p-Methylbenzenesulfonates,"Butyl toluene-4-sulphonate is the butyl ester of p-toluenesulfonic acid (4-methylbenzenesulfonic acid), making it a p-methylbenzenesulfonate (tosylate ester). These compounds fall under organosulfonic acid esters within the organosulfur compounds hierarchy.",high,Butyl toluene-4-sulphonate,316,0,16760,153
Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Halopyridines,Halopyridines,"This compound contains a pyridine ring substituted with amino, chloro, and fluoro groups, with an oxyacetate ester side chain via an ether linkage. The core heterocyclic system is a halogenated pyridine (3,5-dichloro-6-fluoro), making halopyridines the most specific applicable direct parent.",medium,"Methyl O-(4-amino-3,5-dichloro-6-fluoropyridin-2-yloxy)acetate",335,0,16760,167
Inorganic compounds,Inorganic salts,Transition metal salts,NA,Transition metal chlorides,"Cobalt dichloride (CoCl2) is an inorganic salt formed from the transition metal cobalt and chloride ions, classifying it as a transition metal chloride under inorganic salts.",high,Cobalt dichloride,310,0,16760,99
Organic compounds,Organic nitrogen compounds,Organic nitrogen compounds,Quaternary ammonium salts,Tetraalkylammonium salts,Tetrabutylammonium bromide is a quaternary ammonium salt where nitrogen bears four butyl groups and the counterion is bromide. This fits directly under tetraalkylammonium salts.,high,Tetrabutylammonium bromide,314,0,16760,119
Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides,"Cyclooctapentylose is a cyclic oligosaccharide composed of eight pentose (5-carbon sugar) units linked in a ring, analogous to cyclodextrins but built from pentoses. It belongs to the oligosaccharide class within carbohydrates.",medium,Cyclooctapentylose,312,0,16760,138
Inorganic compounds,Homogeneous non-metal compounds,Homogeneous other non-metal compounds,NA,Homogeneous other non-metal compounds,"Graphite is an allotrope of carbon, a pure non-metal element arranged in layered hexagonal lattices. As an elemental inorganic non-metal substance, it best fits under homogeneous non-metal compounds.",medium,Graphite,307,0,16760,124
Organic compounds,Organoheterocyclic compounds,Benzimidazoles,NA,Benzimidazoles,The compound contains a benzimidazole core connected via a sulfanyl (thioether) linkage to a methylpyridine bearing a trifluoroethoxy group. The benzimidazole ring system is the primary heterocyclic scaffold that defines the direct parent classification.,high,"2-[[3-methyl-4-(2,2,2-trifluoroethoxy)pyridin-2-yl]methylsulfanyl]-1H-benzimidazole",351,0,16760,130
Organic compounds,Organohalogen compounds,Aryl halides,Aryl bromides,Trifluoromethylbenzenes,"4-Bromo-α,α,α-trifluorotoluene (4-bromobenzotrifluoride) is a benzene ring bearing both a bromo substituent and a trifluoromethyl group; the most specific descriptor is trifluoromethylbenzenes, while the aryl bromide class captures the halogen attached to the aromatic ring.",high,"4-bromo-α,α,α-trifluorotoluene",322,0,16760,149
Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acid esters,"Ethyl 4-iodobenzoate is an ester of 4-iodobenzoic acid with ethanol, making it a benzoic acid ester. It contains a benzene ring substituted with an iodo group and an ethyl ester group.",high,ethyl 4-iodobenzoate,314,0,16760,148
Organic compounds,Organic nitrogen compounds,Azobenzenes,NA,Azobenzenes,"This compound contains an azo group (-N=N-) connecting two benzene rings, making it an azobenzene derivative. It also contains benzimidazolone, amide, and carboxamide functional groups, but the defining structural feature placing it in the ChemOnt hierarchy is the azo linkage between aromatic rings.",medium,"N-[4-(aminocarbonyl)phenyl]-4-[[1-[[(2,3-dihydro-2-oxo-1H-benzimidazol-5-yl)amino]carbonyl]-2-oxopropyl]azo]benzamide",370,0,16760,151
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Acrylic acid esters,"3-methyl-1,5-pentanediyl diacrylate is a diester formed from acrylic acid and 3-methyl-1,5-pentanediol, making it an acrylic acid ester (diacrylate). It falls under carboxylic acid esters within the carboxylic acids and derivatives class.",high,"3-methyl-1,5-pentanediyl diacrylate",322,0,16760,172
Organic compounds,Organoheterocyclic compounds,Azoles,NA,Thiazolidinethiones,"2-octyl-2H-isothiazol-3-one contains a five-membered ring with both nitrogen and sulfur atoms (an isothiazolone ring), which places it among organoheterocyclic azoles. The isothiazol-3-one core (with a thioamide/lactam-like sulfur-nitrogen-carbonyl arrangement) is best captured by thiazolidinethiones as the closest available direct parent, though it is technically an isothiazolone (a sulfur-nitrogen lactam).",low,2-octyl-2H-isothiazole-3-one,321,0,16760,207
Organic compounds,Benzenoids,Benzene and substituted derivatives,Azobenzenes,Azobenzenes,"This substance contains an azo group (-N=N-) linking two aromatic (benzene) rings, making it an azobenzene derivative. The molecule also bears nitro groups, a bromo substituent, acetamido group, methoxy group, and acetate ester groups, but the defining structural feature placing it in the taxonomy is the azo linkage between two benzene rings.",high,"2,2'-[[5-acetamido-4-[(2-bromo-4,6-dinitrophenyl)azo]-2-methoxyphenyl]imino]diethyl diacetate",354,0,16760,173
Organic compounds,Organoheterocyclic compounds,Triazinanes,"1,3,5-triazinanes","1,3,5-triazinanes","The compound contains a hexahydro-1,3,5-triazine (triazinane) ring with three hydroxyethyl substituents on the nitrogen atoms, making it a 1,3,5-triazinane derivative. The saturated triazine ring system places it firmly in the triazinane class.",high,"2,2',2''-(hexahydro-1,3,5-triazine-1,3,5-triyl)triethanol",338,0,16760,140
Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Organic sulfonic acids and derivatives,Organic salts,"Sodium 2-propyne-1-sulfonate is the sodium salt of propargylsulfonic acid (HC≡C-CH2-SO3Na), featuring a sulfonate group on a propargyl chain. It is an organic sulfonate salt where the sodium counterion makes it an organic salt; the sulfonate functional group places it within organic sulfonic acids and derivatives.",medium,Sodium 2-propyne-1-sulphonate,317,0,16760,169
