substance_name,matchable,llm_kingdom,llm_superclass,llm_class,llm_subclass,llm_direct_parent,confidence,emb_match,emb_score,agree,both_match
oleum ... % SO3,TRUE,Inorganic compounds,Homogeneous non-metal compounds,Non-metal oxoanionic compounds,Non-metal sulfates,Non-metal sulfates,medium,NA,NA,FALSE,FALSE
"Cadmium sulfide (CdS), copper chloride-doped",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Transition metal salts,NA,Transition metal sulfides,medium,NA,NA,FALSE,FALSE
Resinoid of Boswellia Carterii (Burseraceae) obtained from exudate by ethanol extraction,TRUE,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,Triterpenoids,medium,NA,NA,FALSE,FALSE
"Decanoic acid, mixed esters with heptanoic acid, octanoic acid, pentaerythritol and valeric acid",TRUE,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,NA,Triradylcglycerols,low,NA,NA,FALSE,FALSE
Cadmium sulfate caesium hexahydrate,TRUE,Inorganic compounds,Inorganic salts,Transition metal salts,Transition metal sulfates,Transition metal sulfates,medium,NA,NA,FALSE,FALSE
"(butadiene, ethyl acrylate, methyl methacrylate, styrene) copolymer crosslinked with divinylbenzene, in nanoform",TRUE,Organic compounds,Organic Polymers,NA,NA,NA,medium,NA,NA,FALSE,FALSE
"Ethyl(1R,2S)-1-[[(2S,4R)-1-[(2S)-2-[(5-methylheteromonocycle-2-carbonyl)amino]alkenoyl]-4-heteropolycycle-6-yloxy-heteromonocycle-2-carbonyl]amino]-2-vinyl-alicyclecarboxylate",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
hydrogenated homopolymers and/or copolymers made of 1-hexene and/or 1-octene and/or 1-decene and/or 1-dodecene and/or 1-tetradecene (MW: 440–12000),TRUE,Organic compounds,Hydrocarbons,Saturated hydrocarbons,NA,Branched alkanes,medium,NA,NA,FALSE,FALSE
"2-isopropyl-5-[(E)-2-phenylvinyl]cyclohexane-1,3-dione",TRUE,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,NA,Stilbenes,medium,NA,NA,FALSE,FALSE
Allium cepa L. bulb extract,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"4,4'-methylenediphenyldiisocyanate and 2,4'-diisocyanatodiphenylmethane and their oligomerisation reaction products with 2,2'-oxydiethanol, propane-1,2-diol and butane-1,3-diol",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,NA,Isocyanates,medium,NA,NA,FALSE,FALSE
"Mercurate(2-), tetraiodo-, copper(2+) (1:1), (T-4)-",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,medium,NA,NA,FALSE,FALSE
"Nickelate(6-), [4-[[5-[[(3,6-dichloro-4-pyridazinyl)carbonyl]amino]-2-sulfophenyl]azo]-4,5-dihydro-5-oxo-1-[5-[[(trisulfo-29H,31H-phthalocyaninyl)sulfonyl]amino]-2-sulfophenyl]-1H-pyrazole-3-carboxylato(8-)-N29,N30,N31,N32]-, hexahydrogen",TRUE,Organic compounds,Organoheterocyclic compounds,Azoles,Pyrazoles,Pyrazoles,low,NA,NA,FALSE,FALSE
Z-84,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Crude heparin, sodium salt",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carbohydrates and carbohydrate conjugates,Carbohydrates and carbohydrate conjugates,low,NA,NA,FALSE,FALSE
Generic name,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"4,4'-Methylenediphenyl diisocyanate, oligomers",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Isocyanates,Isocyanates,medium,NA,NA,FALSE,FALSE
"Ethylenediamine, ethoxylated and propoxylated",TRUE,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Ethers,medium,NA,NA,FALSE,FALSE
"CW352H (CuNi10Fe1Mn)
CW353H (CuNi30Fe2Mn2)
CW354H (CuNi30Mn1Fe)",TRUE,Inorganic compounds,Homogeneous metal compounds,Intermetallic transition metal compounds,NA,Intermetallic transition metal compounds,medium,NA,NA,FALSE,FALSE
"sodium 4-(2,4,4-trimethylpentylcarbonyloxy)benzenesulfonate",TRUE,Organic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organic sulfate salts,Benzenesulfonate esters,medium,NA,NA,FALSE,FALSE
esters of fatty acids with polyglycerol,TRUE,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,Diradylglycerols,low,Fatty acid esters,0.8815534706709439,FALSE,TRUE
PM14943,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
SETAFIX XD 1289,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Light oil (coal), semi-coking process; Fresh oil; [The volatile organic liquid condensed from the gas evolved in the low-temperature (less than 700 °C (1 292  °F)) destructive distillation of coal. Composed primarily of C6-10 hydrocarbons.]",TRUE,Organic compounds,Hydrocarbons,Aromatic hydrocarbons,NA,Aromatic hydrocarbons,medium,NA,NA,FALSE,FALSE
"Naphthalenesulphonic acid, dinonyl-, sodium salt",TRUE,Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Naphthalene sulfonic acids and derivatives,1-naphthalene sulfonic acids and derivatives,medium,NA,NA,FALSE,FALSE
"Pepper (Piper), P. nigrum, ext.",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Flue dust, cadmium-refining",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,NA,NA,NA,low,NA,NA,FALSE,FALSE
"fatty acids (unbranched, saturated and unsaturated, with an even number of carbon atoms, C8-C22, with a maximum content of 2 % unsaponifiable matter), as compounds with bis(2-hydroxyethyl)amine",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids and conjugates,medium,NA,NA,FALSE,FALSE
CVCP-1V-01,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"[[N,N',N''-[29H,31H-phthalocyaninetriyltris(sulphonylimino-3,1-phenylene)]tris[3-oxobutyramidato]](2-)-N29,N30,N31,N32]nickel",TRUE,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,NA,Phthalocyanines,high,NA,NA,FALSE,FALSE
di-n-octyltin bis(ethyl maleate),TRUE,Organic compounds,Organometallic compounds,Organometallic compounds,Organotin compounds,Dialkyltin dicarboxylates,high,NA,NA,FALSE,FALSE
"Zinc sulfide (ZnS), copper chloride-doped",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Transition metal salts,NA,Transition metal sulfides,medium,NA,NA,FALSE,FALSE
AKPT-1,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Reaction products of fatty acid, C10-14 (even numbered) alkyl with glycine, potassium salts.",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids and derivatives,medium,NA,NA,FALSE,FALSE
SUBSTANCE 717W91,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"A mixture of: 2-ethyl-[2,6-dibromo-4-[1-[3,5-dibromo-4-(2-hydroxyethoxy)phenyl]-1-methylethyl]phenoxy]propenoate; 2,2'-diethyl-[4,4'-bis(2,6-dibromophenoxy)-1-methylethylidene] dipropenoate; 2,2'-[(1-methylethylidene)bis[[2,6-dibromo-4,1-phenylene)oxy]ethanol]]",TRUE,Organic compounds,Organohalogen compounds,Organobromides,Aryl bromides,Aryl bromides,medium,NA,NA,FALSE,FALSE
"(2R,3R)-3-(3-(Benzyloxy)phenyl-2-methylpentanoic acid",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,Phenylpropanoic acids,medium,NA,NA,FALSE,FALSE
N-[[-2[[[(4-Aminoiminomethyl)phenyl]amino]methyl]-1-methyl-1H-benzimidazol-5-yl]carbonyl]-N-2-pyridinyl-beta-alaninethylester p-toluolsulfonat,TRUE,Organic compounds,Organoheterocyclic compounds,Benzimidazoles,NA,Benzimidazoles,medium,NA,NA,FALSE,FALSE
Nickel and its compounds,TRUE,Inorganic compounds,Homogeneous metal compounds,Homogeneous transition metal compounds,NA,Homogeneous transition metal compounds,medium,Inorganic nickel compounds,0.903910822834782,FALSE,TRUE
A mixture of isomers of: sodium phenethylnaphthalenesulfonate; sodium naphthylethylbenzenesulfonate,TRUE,Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,Naphthalene sulfonic acids and derivatives,medium,NA,NA,FALSE,FALSE
arsenic acid and its salts with the exception of those specified elsewhere in this Annex,TRUE,Inorganic compounds,Inorganic salts,Inorganic arsenic compounds,NA,Inorganic arsenic compounds,medium,NA,NA,FALSE,FALSE
Spent liquor from semi-chemical pulping containing spent inorganic process chemicals and dissolved organic substances originating from the wood raw material,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"N-(3-triethoxysilylpropyl)-aza-2,2-diethoxy-2-silacyclopentane",TRUE,Organic compounds,Organometallic compounds,Organometalloid compounds,Organosilicon compounds,Organoheterosilanes,medium,NA,NA,FALSE,FALSE
"Sulfuric acid, nickel(2+) salt (1:1), pentahydrate",TRUE,Inorganic compounds,Inorganic salts,Transition metal salts,NA,Transition metal sulfates,high,NA,NA,FALSE,FALSE
"Alkenes, C8-10, C9-rich",TRUE,Organic compounds,Hydrocarbons,Unsaturated hydrocarbons,Olefins,Olefins,high,NA,NA,FALSE,FALSE
montan wax,TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Wax monoesters,Wax monoesters,medium,NA,NA,FALSE,FALSE
"Ester reaction products of 1,4-Benzenedicarboxylic acid with C11-14 iso-alcohols, C13-rich",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,p-Phthalate esters,high,NA,NA,FALSE,FALSE
"Chromate(2-), [2,4-dihydro-4-[(2-hydroxy-4-nitrophenyl)azo]-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)][3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-2-hydroxy-5-nitrobenzenesulfonato(3-)]-, disodium",TRUE,Organic compounds,Organoheterocyclic compounds,Azoles,NA,Pyrazoles,low,NA,NA,FALSE,FALSE
"aluminium calcium hydroxide phosphite, hydrate",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,medium,NA,NA,FALSE,FALSE
"Butanedioic acid, 2(or 3)-sulfo-, 4-[2-[(1-oxododecyl)amino]ethyl] ester, sodium salt",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Carboxylic acid esters,medium,NA,NA,FALSE,FALSE
"Phenol, dodecyl-, sulfurized, calcium salts",TRUE,Organic compounds,Organosulfur compounds,Organic sulfate salts,NA,Organic metal salts,low,NA,NA,FALSE,FALSE
Heptabromodiphenyl ether (Group),TRUE,Organic compounds,Organohalogen compounds,Aryl halides,NA,Bromodiphenyl ethers,high,NA,NA,FALSE,FALSE
AGK 4172,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Reaction products of 2-amino-4-chlorophenol, 2-amino-4-nitrophenol-6-sulfonic acid with resorcinol, iron complex, sodium salts",TRUE,Organic compounds,Organoheterocyclic compounds,Azoles,NA,Organic metal salts,low,NA,NA,FALSE,FALSE
"Cyclohexane, oxidized, aq. ext.",TRUE,Organic compounds,Hydrocarbon derivatives,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,low,NA,NA,FALSE,FALSE
"Blend of 1-octadecenol, 1-octadecadienols, different isomers",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Long-chain fatty alcohols,high,NA,NA,FALSE,FALSE
"Fatty acids, C18 (saturated and unsaturated) ethyl esters",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid methyl esters,medium,NA,NA,FALSE,FALSE
"1,2,3-Propanetriol, oligomers, docosanoate",TRUE,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Triradylcglycerols,Triacylglycerols,medium,NA,NA,FALSE,FALSE
CIN 10082251,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
Fatty alcohols / Aliphatic alcohols,TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols,high,Fatty alcohols,0.884212839556921,TRUE,TRUE
FC-114B,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Benzenesulfonic acid, C10-16-alkyl derivs., magnesium salts",TRUE,Organic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organic sulfonic acids and derivatives,Organic metal salts,medium,NA,NA,FALSE,FALSE
"2-Naphthalenamine, N-(2-ethylhexyl)-1-[[4-(phenylazo)phenyl]azo]-, ar' and ar''-Me derivs.",TRUE,Organic compounds,Hydrocarbon derivatives,Azobenzenes,NA,Azobenzenes,medium,NA,NA,FALSE,FALSE
SKF 109077,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"[phosphinyldynetris(oxy)] tris[3-aminopropyl-2-hydroxy-N,N-dimethyl-N-(C6-18)-alkyl] trichlorides",TRUE,Organic compounds,Organophosphorus compounds,Organic phosphoric acids and derivatives,NA,Quaternary ammonium salts,low,NA,NA,FALSE,FALSE
"(2,2-Diphenyltetrahydrofuran-3-yl)methanol",TRUE,Organic compounds,Organoheterocyclic compounds,Oxolanes,Tetrahydrofurans,Tetrahydrofurans,high,NA,NA,FALSE,FALSE
M-119,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Benzenamine, reaction products with aniline hydrochloride and nitrobenzene, hydrochlorides",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary aromatic amines,low,NA,NA,FALSE,FALSE
4-Methyl-N-Ethyl-N-(2-methyl-5-nitrophenyl)benzenesulfonamide,TRUE,Organic compounds,Organosulfur compounds,Sulfonyls,Sulfonamides,"N,N-disubstituted p-toluenesulfonamides",high,NA,NA,FALSE,FALSE
"empenthrin (ISO); 1-ethynyl-2-methylpent-2-enyl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate",TRUE,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Pyrethroids,Pyrethroids,high,NA,NA,FALSE,FALSE
EPOCROS RPS,TRUE,Organic compounds,Organic Polymers,NA,NA,NA,low,NA,NA,FALSE,FALSE
"1,4-Cyclohexanedicarboxylic acid, 1,4-dinonyl ester, branched and linear",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Carboxylic acid esters,medium,NA,NA,FALSE,FALSE
"Matte, copper-lead",TRUE,NA,NA,NA,NA,NA,high,NA,NA,FALSE,FALSE
"Fatty acids, C9, hexaesters with dipentaerythritol",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,medium,NA,NA,FALSE,FALSE
Cadmium sulfide (Cd0.53S0.47),TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,medium,NA,NA,FALSE,FALSE
"UK-348,959",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Reaction products of stearic acid, diethylenetriamine and N-aminoethylethanolamine and acetic acid",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Amines,low,NA,NA,FALSE,FALSE
"Reaction product of 2-hydroxybenzoic acid, styrene and oxozinc",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,NA,NA,NA,low,NA,NA,FALSE,FALSE
L-alpha-glutamyltryptamine,TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,medium,NA,NA,FALSE,FALSE
"Quillaja saponaria, ext.",TRUE,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,NA,Triterpene saponins,medium,NA,NA,FALSE,FALSE
"Nickel, [29H,31H-phthalocyaninato(2-)-[?]N29,[?]N30,[?]N31,[?]N32]-, sulfo [[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]amino]sulfonyl derivs., sodium salts",TRUE,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,NA,Phthalocyanines,medium,NA,NA,FALSE,FALSE
(R)-5-Bromo-3-[(1-methyl-2-pyrrolidinyl)methyl]-1H-indol oxalate,TRUE,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles and derivatives,Indoles,high,NA,NA,FALSE,FALSE
"Tris(ethyl acetoacetato-O1',O3)aluminium",TRUE,Organic compounds,Organometallic compounds,Organo-post-transition metal compounds,Organoaluminium compounds,Organoaluminium compounds,medium,NA,NA,FALSE,FALSE
A mixture of: dicalcium (bis(2-hydroxy-5-tetra-propenylphenylmethyl)methylamine)dihydroxide; tri-calcium (tris(2-hydroxy-5-tetra-propenylphenylmethyl)methylamine)tri-hydroxide; poly[calcium ((2-hydroxy-5-tetrapropenyl-phenylmethyl)methylamine)hydroxide],TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Amines,low,NA,NA,FALSE,FALSE
reaction products of diisopropanolamine with formaldehyde (1:4),TRUE,Organic compounds,Organic nitrogen compounds,Azacyclic compounds,NA,Morpholines,low,NA,NA,FALSE,FALSE
MARINE DER 7530,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"((2R, 5S)-5-(4-Amino-5-fluoro-2-oxo-2H-pyrimidin-1-yl)-[1,3]oxathiolane-2-carboxylic Acid, (2S)-Isopropyl-(5R)-methyl-(1R)-cyclohexyl Ester",TRUE,Organic compounds,Organoheterocyclic compounds,Oxathiolanes,NA,Oxathiolanes,medium,NA,NA,FALSE,FALSE
copolymers of butadiene with styrene and divinylbenzene,TRUE,Organic compounds,Organic Polymers,NA,NA,NA,medium,NA,NA,FALSE,FALSE
"Melaleuca alternifolia, ext.",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
Pseudozyma flocculosa,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Fatty acids, tall-oil, reaction products with bisphenol A, epichlorohydrin, glycidyl tolyl ether and triethylenetetramine",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids and conjugates,low,NA,NA,FALSE,FALSE
"4-[2-(4-hydroxyphenyl)propan-2-yl]phenol, reaction product with diphenyl carbonate",TRUE,Organic compounds,Organic oxygen compounds,Organic carbonic acids and derivatives,Carbonic acid diesters,Carbonic acid diesters,medium,NA,NA,FALSE,FALSE
"(E,Z)-3,8-Tetradecadien-1-yl acetate (SCLP Acetates)",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,high,NA,NA,FALSE,FALSE
(Z)-9-Tetradecen-1-ol (SCLP Alcohols),TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Long-chain fatty alcohols,high,NA,NA,FALSE,FALSE
"Soaps, stocks, vegetable-oil, acidulated",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,medium,NA,NA,FALSE,FALSE
AF-410,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Alcohols, C6-24 and C6-24-unsatd., distn. residues",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,NA,Fatty alcohols,medium,NA,NA,FALSE,FALSE
"Ethanol, 2,2'-oxybis-, reaction products with ammonia, fractionation forecuts",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Amines,low,NA,NA,FALSE,FALSE
"Pyrolysis Products|Aromatic hydrocarbons, C<sub>20-28</sub>, polycyclic, mixed coal-tar pitch-polystyrene pyrolysis-derived|[A complex combination of hydrocarbons obtained from mixed coal tar pitch-polystyrene pyrolysis. Composed primarily of polycyclic a",TRUE,Organic compounds,Hydrocarbons,Aromatic hydrocarbons,NA,Polycyclic hydrocarbons,medium,NA,NA,FALSE,FALSE
"pentasodium monohydrogen 6-chloro-3,10-bis[2-[4-chloro-6-(2,4-disulfophenylamino)-1,3,5-triazin-2-yl-amino]ethylamino]-13-ethylbenzo[5.6][1.4]oxazino[2,3-b]phenoxazine-4,11-disulfonate",TRUE,Organic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organic sulfonate salts,Organic sulfonate salts,low,NA,NA,FALSE,FALSE
LUMILUX RED CD 316,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
guar gum,TRUE,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Polysaccharides,low,NA,NA,FALSE,FALSE
iso-octyl-epoxy-stearate,TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,medium,NA,NA,FALSE,FALSE
"Ashes (residues), rice husk",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Fatty acids, C16-18 and C18-unsatd., esters with pentaerythritol",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Wax monoesters,low,NA,NA,FALSE,FALSE
[(1E)-7-methyl-5-oxo-1-phenyloct-1-en-3-yl]malonic acid,TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,medium,NA,NA,FALSE,FALSE
"(4S)-3-carbamoyl-4-(4-cyano-2-methoxyphenyl)-5-ethoxy-2,8-dimethyl-1,4-dihydro-1,6-naphthyridin-1-ium (2S,3S)-2,3-bis(benzoyloxy)-3-carboxypropanoate",TRUE,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,NA,Organic salts,medium,NA,NA,FALSE,FALSE
Resinoid of Dipteryx Odorata (Fabaceae) obtained from the beans by solvent extraction,TRUE,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Coumarins and derivatives,Coumarins and derivatives,medium,NA,NA,FALSE,FALSE
A mixture of isomers of: dibenzylbenzene; dibenzyl(methyl)benzene; dibenzyl(dimethyl)benzene; dibenzyl(trimethyl)benzene,TRUE,Organic compounds,Hydrocarbons,Aromatic hydrocarbons,NA,Aromatic hydrocarbons,medium,NA,NA,FALSE,FALSE
PHENYLENEDIAMINE DYE,TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary aromatic amines,medium,NA,NA,FALSE,FALSE
"Lead, C8-10-branched fatty acids C9-11-neofatty acids naphthenate complexes, overbased",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Organic metal salts,low,NA,NA,FALSE,FALSE
Rape oil,TRUE,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,NA,Triacylglycerols,high,NA,NA,FALSE,FALSE
"Zirconium oxide, hafnium and ytterbium doped",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Inorganic oxides,NA,Inorganic oxides,medium,NA,NA,FALSE,FALSE
(1-naphthylmethyl)(tetrahydrofuran-2-ylmethyl)malonic acid hydrate (1:1),TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,medium,NA,NA,FALSE,FALSE
"Tetrasodium [2-({4-fluoro-6-[(2-{[4-fluoro-6-({5-(hydroxykappaO)-6-[(2-{[2-(hydroxy-kappaO)-5-sulfophenyl] diazenyl-kappaN1}-4,5-dimethoxyphenyl) diazenyl-kappaN2]-7-sulfo-2-naphthyl} amino)-1,3,5-triazin-2-yl] amino} propyl) amino]-1,3,5-triazin-2-yl} amino) benzene-1,4- disulfonato(6-)] cuprate(4-)",TRUE,Organic compounds,Organoheterocyclic compounds,Triazines,"1,3,5-triazines",Azobenzenes,low,NA,NA,FALSE,FALSE
"(11-oxo-6,11-dihydro-dibenzo[b,e]oxepin-2-yl)-acetic acid butyl ester",TRUE,Organic compounds,"Lignans, neolignans and related compounds",Benzoxepines,NA,Benzoxepines,medium,NA,NA,FALSE,FALSE
A mixture of: bis(5-dodecyl-2-hydroxybenzald-oximate) copper (II) C12-alkyl group is branched; 4-dodecylsalicylaldoxime,TRUE,Organic compounds,Organoheterocyclic compounds,Azoles,NA,Oximes,low,NA,NA,FALSE,FALSE
Z-78,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"6,6'-bis(diazo-5,5', 6,6'-tetrahydro-5,5'-dioxo)[methylene-bis(5-(6-diazo-5,6-dihydro-5-oxo-1-naphthylsulphonyloxy)-6-methyl-2-phenylene]di(naphthalene-1-sulfonate)",TRUE,Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Organic sulfonate salts,Naphthalene sulfonic acids and derivatives,medium,NA,NA,FALSE,FALSE
